TIMESTAMP,P_F,P_F_QC,TMIN_F_MDS,TMIN_F_QC,TMAX_F_MDS,TMAX_F_QC,TA_F_MDS,TA_F_QC,SW_IN_F_MDS,SW_IN_F_MDS_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,VPD_F_MDS,VPD_F_MDS_QC,WS_F,WS_F_QC,PA_F,PA_F_QC,CO2_F_MDS,CO2_F_MDS_QC,GPP_NT_VUT_SE,GPP_DT_VUT_SE,GPP_DT_VUT_REF,GPP_DT_VUT_REF_QC,GPP_NT_VUT_REF,GPP_NT_VUT_REF_QC,NETRAD,NETRAD_QC,USTAR,USTAR_QC,SW_OUT,SW_OUT_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_QC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_QC,LE_CORR_JOINTUNC,H_CORR_JOINTUNC,LAI,FPAR,TA_DAY_F_MDS,TA_DAY_F_QC,VPD_DAY_F_MDS,VPD_DAY_F_MDS_QC
2004-01-01,0.946000002659275,0,-3.9069885253906,1,-0.299993896484352,1,-2.37681299845375,1,38.1476670503616,0,271.037042617798,0,0.864937495440245,0,1.14566667191684,0,92.7407708333333,0,377.700012207031,NA,0.526728131661491,0.955255427771137,4.12117019295692,1,-0.0138243904026846,1,NA,0,NA,0,NA,0,47.827306078126,0,NA,5,96.4074417774876,0,NA,0,NA,NA,0.567928314208984,0.413808345794678,-1.93212356567381,1,1.10487499833107,0
2004-01-02,1.24200000791461,0,-4.97699584960935,1,-1.73801269531248,1,-2.84710477193194,1,23.9247082273165,0,289.352954864502,0,0.910791670282682,0,1.80804166818659,0,92.4492708333333,0,377.700012207031,NA,0.487075929785194,0.702669223150049,2.87222133328517,1,0.768102057210247,1,NA,0,NA,0,NA,0,39.4195460174815,0,NA,5,101.186932382484,0,NA,0,NA,NA,0.569206714630127,0.416327893733978,-2.18606224060056,1,1.06387500464916,0
2004-01-03,0.149999998802741,0,-7.85700073242185,1,-4.00800170898435,1,-5.78631121317543,1,54.116187552611,0,238.568292617798,0,1.03214583049218,0,1.58060416765511,0,93.1569375,0,377.700012207031,NA,0.437177785645076,1.20062028489283,5.17676547914743,1,0.673470831786593,1,NA,0,NA,0,NA,0,44.4698026255149,0,NA,5,94.8750613878171,0,NA,0,NA,NA,0.570185482501984,0.419984847307205,-5.10724678039549,1,1.2419999986887,0
2004-01-04,0.597999992896803,0,-9.9580139160156,1,-3.06500854492185,1,-5.99342130025226,1,41.6637285451094,0,256.847710927327,0,1.12283333390951,0,1.76054166754087,0,93.2843333333333,0,377.700012207031,NA,0.535385484355866,1.01150029049122,4.39184930423896,1,-0.321831833571196,1,NA,0,NA,0,NA,0,47.827306078126,0,NA,5,96.4074417774876,0,NA,0,NA,NA,0.571125030517578,0.424480527639389,-4.94163169860838,1,1.42906250432134,0
2004-01-05,0.985999999011256,0,-3.61798706054685,1,-0.823004150390602,1,-2.02914530436196,1,17.4424169609944,0,298.705499013265,0,0.962020835528771,0,1.72495833535989,0,93.6299375,0,377.700012207031,NA,0.493136038336568,0.534030189419501,2.25171411968768,1,0.840770332957618,1,NA,0,NA,0,NA,0,39.4195460174815,0,NA,5,101.186932382484,0,NA,0,NA,NA,0.572285532951355,0.429516315460205,-1.42256202697752,1,1.09287500753999,0
2004-01-06,0.00599999998485146,0,-1.48200073242185,1,4.01198730468752,1,0.387289301554385,1,40.5344372888406,0,284.467465718587,0,1.32879166801771,0,1.46266666303078,0,93.63425,0,377.700012207031,NA,0.445175752522676,1.00182948121476,4.24673394113779,1,1.21801156514751,1,NA,0,NA,0,NA,0,44.4698026255149,0,NA,5,94.8750613878171,0,NA,0,NA,NA,0.573927402496338,0.434793531894684,1.88849601745608,1,1.75231249630451,0
2004-01-07,0.750000010793883,0,-2.61600341796873,1,3.21401367187502,1,0.154395675659202,1,31.5826046311607,0,278.498662948608,0,1.17385416229566,0,1.33281250546376,0,93.4753333333333,0,377.700012207031,NA,0.529154554865739,0.842068286790282,3.59468313454029,1,0.214770682311306,1,NA,0,NA,0,NA,0,47.827306078126,0,NA,5,96.4074417774876,0,NA,0,NA,NA,0.576310813426971,0.440013587474823,2.04876457663146,1,1.3852352885639,0
2004-01-08,4.74200003372971,0,-2.80399169921873,1,5.70400390625002,1,0.888333257039411,1,58.3639581811925,0,271.048043568929,0,1.39089583481352,0,2.2267500013113,0,92.8453333333333,0,377.700012207031,NA,0.505731736880215,1.24953389967247,5.45355341009175,1,1.10692509170622,1,NA,0,NA,0,NA,0,39.4195460174815,0,NA,5,101.186932382484,0,NA,0,NA,NA,0.579696118831635,0.444877773523331,2.7268831140855,1,1.78229411209331,0
2004-01-09,13.6439999369031,0,2.15700683593752,1,3.68300781250002,1,2.83833084106448,1,11.9175832998008,0,321.329163869222,0,0.960041665782531,0,4.37116667628288,0,92.4836666666667,0,377.700012207031,NA,0.43574644880962,0.392775820702466,1.62135633492532,1,1.44337159441784,1,NA,0,NA,0,NA,0,44.4698026255149,0,NA,5,94.8750613878171,0,NA,0,NA,NA,0.584343671798706,0.449087500572205,3.21629171932447,1,0.910705881960252,0
2004-01-10,6.63199998598429,0,0.600000000000023,1,2.8959899902344,1,1.79466908772789,1,27.6079788381855,0,300.491539001465,0,0.813979168732961,0,3.44543752074242,0,93.1278125,0,377.700012207031,NA,0.524674471915056,0.781286493040989,3.1927521036317,1,0.364291883694629,1,NA,0,NA,0,NA,0,47.827306078126,0,NA,5,96.4074417774876,0,NA,0,NA,NA,0.590770065784454,0.452962785959244,2.0630019244026,1,0.837058821145226,0
